Date,VOO US EQUITY,VOOG US EQUITY,VOOV US EQUITY,VO US EQUITY,VOT US EQUITY,VOE US EQUITY,VTWO US EQUITY,VTWG US EQUITY,VTWV US EQUITY,GLD US EQUITY,SLV US EQUITY,CPER US EQUITY,DBO US EQUITY,UNG US EQUITY,VNQ US EQUITY,SHYG US EQUITY,SPSB US EQUITY,SHY US EQUITY,JNK US EQUITY,SPIB US EQUITY,IEI US EQUITY,ANGL US EQUITY,SPIB US EQUITY,TLH US EQUITY,TLT US EQUITY,VGK US EQUITY,VWO US EQUITY,MCHI US EQUITY,EWY US EQUITY,EWJ US EQUITY,SH US EQUITY,PSQ US EQUITY,BSV US EQUITY,RWM US EQUITY,DOG US EQUITY,EUM US EQUITY,VOX US EQUITY,VCR US EQUITY,VDC US EQUITY,VDE US EQUITY,VFH US EQUITY,VHT US EQUITY,VIS US EQUITY,VGT US EQUITY,VAW US EQUITY,VNQ US EQUITY,VPU US EQUITY
2013-09-12,131.1647,71.4359,62.2015,89.082,79.0801,60.2356,37.3752,84.098,66.5324,127.67,21.06,22.0,27.0622,76.48,46.7252,,26.227,77.7579,73.3951,26.4916,106.0364,16.3883,26.4916,101.5736,84.2246,40.896,32.2119,40.5367,52.5544,39.9938,54.4142,81.1039,69.1062,73.9767,111.6548,26.9713,64.4076,86.154,83.318,89.9836,34.3336,82.4609,75.9943,72.2918,79.1773,46.7252,60.6489
2013-09-13,131.4358,71.7403,62.4307,89.3008,79.2392,60.4506,37.5856,84.2869,66.8139,127.82,21.42,21.8201,27.0525,77.0,46.8593,,26.1757,77.7579,73.3599,26.5865,106.1162,16.4618,26.5865,101.8863,84.5512,41.0863,32.4461,40.7966,52.6144,40.2017,54.2976,80.9872,69.1235,73.548,111.0497,26.7855,64.5695,86.5886,83.9974,90.0061,34.4337,82.6639,76.1923,72.3278,79.7237,46.8593,61.0783
2013-09-16,132.2321,71.9193,62.8614,89.9308,79.7166,60.9219,37.6125,84.3809,66.9844,126.45,20.94,21.95,26.8105,78.36,47.3252,,26.2313,77.8133,73.7101,26.5582,106.3913,16.5117,26.5582,101.7654,83.9878,41.3909,32.8072,41.0738,53.111,40.7215,53.9671,81.2596,69.2273,73.47,110.1129,26.5019,64.5054,86.8636,84.6849,90.0061,34.7592,83.3259,77.0619,72.0305,80.6233,47.3252,61.1461
2013-09-17,132.7744,72.3042,63.1267,90.4121,80.1566,61.2113,38.0198,85.3019,67.5985,126.5,20.96,21.95,26.5878,78.28,47.2969,,26.2142,77.841,73.9324,26.6034,106.5067,16.518,26.6034,102.1156,84.6819,41.4137,32.7834,40.8745,52.8712,40.5483,53.7533,80.7148,69.2273,72.6905,109.9178,26.5508,64.9301,87.4845,85.0366,90.5088,34.9345,83.4672,77.5268,72.553,80.4635,47.2969,61.5153
2013-09-18,134.3671,73.2531,63.9618,91.3397,81.0739,61.8149,38.36,85.9694,68.4258,132.01,22.31,22.54,27.0428,78.04,48.8992,,26.2911,77.9426,74.5995,26.7868,107.2609,16.5691,26.7868,103.5464,85.727,42.4569,34.1091,41.7147,55.0332,41.7924,53.1117,79.7029,69.4696,71.95,108.8639,25.3871,65.4028,88.4158,86.0838,91.484,35.3267,83.9615,78.4307,73.4628,82.1365,48.8992,63.331
2013-09-19,134.1468,73.2263,63.5524,91.2434,81.0833,61.5999,38.3421,86.129,68.204,131.75,22.2,,26.8008,77.84,48.8568,,26.2997,77.9148,74.3772,26.8906,107.0834,16.6304,26.8906,102.8743,85.2208,42.2513,33.9701,41.3942,54.772,41.588,53.1895,79.5083,69.4177,72.1059,109.1761,25.5435,65.2642,88.54,85.6921,91.3565,35.1431,83.7231,78.6115,73.652,81.9348,48.8568,63.0673
2013-09-20,133.0963,72.8897,63.053,90.4646,80.4655,61.1121,38.2212,85.9311,68.2807,127.96,20.999,22.44,26.8686,77.44,48.0592,,26.2826,77.9241,74.2104,26.8826,107.0746,16.6304,26.8826,103.0761,85.674,41.9772,33.1644,40.9178,53.6675,41.2414,53.5977,79.8197,69.435,72.3397,110.3081,26.1596,64.6234,87.9723,85.1167,90.6288,34.9345,83.529,77.7248,73.2827,80.8755,48.0592,62.2536
2013-09-23,132.6075,72.51,62.7722,89.9046,79.8383,60.7896,38.266,85.8001,68.204,127.55,20.78,22.34,26.6555,75.68,47.7301,,26.2826,77.9426,74.3216,26.8906,107.2432,16.6095,26.8906,103.458,86.2986,41.9191,33.3325,41.2643,53.4706,41.3627,53.831,79.9753,69.4609,72.2813,110.8155,26.0129,64.7634,87.3426,84.7968,90.2087,34.528,82.9503,77.5698,73.3367,80.4215,47.7301,62.9992
2013-09-24,132.318,72.2695,62.6899,90.0446,79.8945,60.9798,38.4182,85.8846,68.6902,127.66,20.89,22.06,26.6362,73.56,47.3669,,26.274,77.9518,74.1177,26.9305,107.3807,16.6304,26.9305,104.1334,87.2294,41.8045,33.0004,40.7966,53.4449,41.4147,53.9282,79.9364,69.4739,72.0669,111.2449,26.2281,64.656,87.449,84.3652,90.3662,34.396,82.6021,77.7782,73.2466,80.3711,47.3669,62.9764
2013-09-25,131.8923,71.9999,62.5148,89.8871,79.6604,60.9384,38.3018,85.8283,68.3661,128.79,20.98,,26.4716,73.12,47.5236,,26.2826,77.9795,74.0622,26.8906,107.5449,16.6992,26.8906,104.5128,87.4091,41.9191,32.8043,40.58,52.8798,41.3107,54.0838,80.2088,69.5042,72.1643,111.7133,26.4628,64.8499,87.174,83.7736,90.4037,34.5386,82.0019,77.544,73.2016,80.5224,47.5236,62.5352
