Date,KOSPI Index,M1WO Index,M1EF Index,KBPMABIN Index,BTSYTRUH Index,JPEIGLBL Index,LGCPTRUU Index,RUGL Index,BCOMTR Index,BCOMGCTR Index
2011-09-07,1833.46,2910.77,390.86,189.79,500.8775,564.48,208.7066,2846.8,326.215,466.8682
2011-09-08,1846.64,2901.37,392.51,190.11,501.3954,564.84,208.9427,2838.9,327.1732,477.1173
2011-09-09,1812.93,2814.72,384.32,190.3,502.4537,563.18,207.6933,2764.41,322.8603,477.6314
2011-09-12,,2785.21,375.83,,502.0542,560.98,206.2369,2720.7,321.1153,465.7657
2011-09-13,,2815.32,373.7,,501.3189,560.42,205.6651,2725.18,322.0403,470.0811
2011-09-14,1749.16,2841.3,369.11,190.63,501.0583,558.25,205.5378,2716.58,321.0094,469.1565
2011-09-15,1774.08,2902.05,373.46,190.28,500.1822,557.66,205.9817,2760.02,318.1927,457.5722
2011-09-16,1840.1,2918.34,378.56,190.07,501.2572,557.9,206.2306,2790.69,316.586,466.1258
2011-09-19,1820.94,2870.36,367.98,189.53,502.1967,555.11,206.0557,2726.09,311.0193,456.9306
2011-09-20,1837.97,2883.82,368.67,189.5,502.019,555.86,206.3492,2729.03,312.1114,464.6879
2011-09-21,1854.28,2822.49,364.36,189.42,502.5134,553.73,206.6905,2657.66,309.583,464.4312
2011-09-22,1800.55,2703.75,341.37,189.53,504.7188,545.1,205.4724,2553.44,295.9394,447.3757
2011-09-23,1697.44,2717.75,333.97,189.82,504.1985,539.42,204.5031,2561.67,287.6509,421.2016
2011-09-26,1652.71,2753.83,330.1,189.51,503.1888,533.74,203.5009,2558.0,288.0059,409.6432
2011-09-27,1735.71,2830.11,346.39,189.72,501.6886,539.15,203.8333,2620.81,295.6732,424.4644
2011-09-28,1723.09,2789.07,345.5,189.37,501.5719,538.49,203.7242,2590.51,287.9461,415.6285
2011-09-29,1769.29,2807.14,346.83,189.25,501.9484,540.75,204.1087,2609.95,289.4004,415.4233
2011-09-30,1769.65,2743.58,341.4,189.12,502.8392,539.37,203.2264,2548.96,281.8526,416.7078
2011-10-03,,2670.99,330.54,,504.5906,538.81,203.1958,2455.91,282.0467,425.8014
2011-10-04,1706.19,2670.32,322.39,189.82,505.1905,535.0,202.177,2470.81,278.1362,415.0905
2011-10-05,1666.52,2724.69,324.46,189.96,503.8035,536.46,201.4387,2471.42,282.2549,421.6664
2011-10-06,1710.32,2793.6,335.14,189.96,502.7928,540.47,201.5721,2553.09,287.0587,424.6463
2011-10-07,1759.77,2799.36,342.83,189.91,502.1485,541.85,202.0296,2551.49,285.0903,420.1771
2011-10-10,1766.44,2874.89,348.57,189.79,501.584,,202.7486,2622.04,290.1287,429.168
2011-10-11,1795.02,2881.74,352.9,189.8,500.6648,545.33,202.7635,2604.25,293.3197,426.651
2011-10-12,1809.5,2922.92,358.23,190.11,499.1971,549.72,203.5015,2654.67,293.6452,432.1994
2011-10-13,1823.1,2906.85,361.07,190.26,499.7552,550.1,204.2143,2663.68,292.6372,428.5778
2011-10-14,1835.4,2949.59,363.03,190.24,498.593,552.44,204.5371,2702.68,297.9522,432.3025
2011-10-17,1865.18,2913.58,365.36,189.97,499.5716,553.7,205.1911,2683.34,295.8347,430.6591
2011-10-18,1838.9,2927.76,359.19,190.02,499.6899,553.47,204.8746,2686.55,295.2918,424.5461
2011-10-19,1855.92,2921.57,362.23,190.01,499.0971,554.42,205.9665,2686.32,291.3648,423.0567
2011-10-20,1805.09,2901.62,352.45,190.03,498.9915,552.26,205.5058,2664.67,288.3772,414.2979
2011-10-21,1838.38,2969.81,357.25,189.85,498.4421,553.64,206.6508,2732.05,291.3965,420.2575
2011-10-24,1898.32,3013.61,368.65,189.65,497.9878,554.64,206.8983,2793.29,297.1436,424.4198
2011-10-25,1888.65,2973.64,370.94,189.67,499.6242,557.12,208.3161,2761.05,298.9803,436.7753
2011-10-26,1894.31,2985.2,372.92,189.82,500.1556,558.74,207.6199,2761.55,295.9937,442.7091
2011-10-27,1922.04,3110.61,385.91,189.74,497.8487,564.28,208.8256,2888.68,303.2756,448.9256
2011-10-28,1929.48,3119.11,392.26,189.78,497.4588,564.09,210.0722,2918.16,303.3137,448.7974
2011-10-31,1909.03,3027.37,386.62,190.07,499.236,563.69,209.9439,2871.01,300.5066,443.1471
2011-11-01,1909.63,2921.68,376.19,190.21,501.8605,562.5,209.2171,2768.87,295.9921,439.7052
2011-11-02,1898.01,2958.62,379.46,190.29,501.6354,564.06,209.5213,2805.45,296.6528,444.2775
2011-11-03,1869.96,3002.29,378.26,190.49,500.9176,567.2,208.8241,2816.02,300.5849,453.3964
2011-11-04,1928.41,2993.12,384.34,190.44,501.1499,567.85,209.2637,2830.64,300.5174,451.0847
2011-11-07,1919.1,2998.75,384.61,190.59,500.9961,568.09,209.4267,2822.76,300.9071,460.0755
2011-11-08,1903.14,3026.07,384.72,190.75,500.8112,569.25,209.1666,2840.0,302.982,462.1608
2011-11-09,1907.53,2938.95,380.64,190.84,500.6988,566.72,208.1098,2771.27,298.8994,460.2097
2011-11-10,1813.25,2935.7,370.52,191.04,500.5206,566.22,207.2701,2728.45,297.835,451.9814
2011-11-11,1863.45,3001.79,377.21,190.87,500.5924,,208.002,2789.41,299.4047,459.3147
2011-11-14,1902.81,2974.8,379.53,190.72,500.4188,566.03,207.8752,2759.76,297.308,456.8267
2011-11-15,1886.12,2966.67,376.58,190.97,499.3691,564.27,206.6184,2753.02,299.4238,457.8015
2011-11-16,1856.07,2937.27,373.03,191.11,499.6106,564.22,206.3707,2720.32,299.9199,455.8008
2011-11-17,1876.67,2896.8,369.9,191.01,499.9043,562.32,206.0495,2678.85,292.4407,441.9492
2011-11-18,1839.17,2884.0,362.97,191.1,500.1729,561.61,205.5439,2675.89,291.3004,443.2319
2011-11-21,1820.03,2818.22,353.56,191.19,500.5703,558.76,204.9466,2608.04,287.6518,431.3556
2011-11-22,1826.28,2809.03,353.38,191.2,500.3656,558.42,204.9158,2605.22,290.1756,437.4865
2011-11-23,1783.1,2748.65,344.02,191.38,499.8176,555.86,203.6018,2540.36,286.3344,435.768
2011-11-24,1795.06,2741.06,345.18,191.36,498.9601,,203.3386,2542.94,,
2011-11-25,1776.4,2736.16,341.0,191.24,497.1677,,201.9723,2541.03,284.9446,433.1263
2011-11-28,1815.28,2822.43,350.7,191.23,497.8054,555.79,202.7546,2605.25,287.5313,439.7962
2011-11-29,1856.52,2841.15,353.52,191.27,497.9699,556.69,202.4318,2624.19,290.3124,440.9253
2011-11-30,1847.51,2953.45,360.85,191.54,498.194,560.39,203.0269,2711.1,293.8383,448.9802
2011-12-01,1916.18,2953.12,372.82,191.48,499.6861,561.64,203.0988,2713.84,293.3093,446.2872
2011-12-02,1916.04,2961.11,373.49,191.57,500.2821,562.98,203.9634,2722.75,294.0978,449.2375
2011-12-05,1922.9,2990.34,375.58,191.63,502.0835,564.91,204.7043,2741.19,292.5242,444.9291
2011-12-06,1902.82,2976.27,370.65,191.67,502.0582,564.68,204.1896,2721.9,293.2023,444.2366
2011-12-07,1919.42,2985.73,372.94,191.7,502.2202,564.83,205.0007,2749.8,290.722,447.5714
2011-12-08,1912.39,2929.26,368.39,191.66,501.7539,564.36,205.1193,2698.68,288.4509,439.5168
2011-12-09,1874.75,2960.91,363.18,191.7,501.5619,564.66,204.274,2702.45,287.455,440.389
2011-12-12,1899.76,2915.27,359.62,191.71,502.3308,563.76,204.1004,2664.89,283.0002,427.9225
2011-12-13,1864.06,2891.82,356.56,191.85,502.8138,564.61,203.705,2642.63,284.7601,426.6144
2011-12-14,1857.75,2841.23,351.58,191.91,503.7617,563.47,203.337,2625.65,274.4818,407.0678
2011-12-15,1819.11,2850.85,348.75,191.97,504.4689,563.52,203.374,2645.7,273.9465,404.5797
2011-12-16,1839.96,2859.91,351.61,191.97,505.5623,563.31,204.3824,2666.69,275.4383,409.8898
2011-12-19,1776.93,2832.21,345.66,191.56,506.0353,563.37,204.5435,2637.58,275.9552,409.5823
2011-12-20,1793.06,2903.77,350.34,191.8,505.5241,564.2,204.4015,2695.6,280.5929,414.9436
2011-12-21,1848.41,2904.47,356.33,191.84,504.924,564.95,203.9387,2703.77,282.219,413.9175
2011-12-22,1847.49,2928.05,357.66,191.82,504.8833,565.43,204.2335,2727.83,283.6396,413.1481
2011-12-23,1867.22,2949.98,360.83,191.77,504.5646,565.38,203.6052,2746.64,283.8652,411.9681
