Date,AAPL US Equity,MSFT US Equity,GOOGL US Equity,GOOG US Equity,AMZN US Equity,TSLA US Equity,FB US Equity,BRK/B US Equity,NVDA US Equity,V US Equity,UNH US Equity,JNJ US Equity,JPM US Equity,PG US Equity,WMT US Equity,HD US Equity,BAC US Equity,MA US Equity,XOM US Equity,PFE US Equity,KO US Equity,DIS US Equity,CVX US Equity,PEP US Equity,CSCO US Equity,ADBE US Equity,ABBV US Equity,LLY US Equity,TMO US Equity,CMCSA US Equity,NKE US Equity,VZ US Equity,ABT US Equity,ACN US Equity,AVGO US Equity,ORCL US Equity,CRM US Equity,COST US Equity,INTC US Equity,WFC US Equity,MRK US Equity,DHR US Equity,PYPL US Equity,MCD US Equity,T US Equity,QCOM US Equity,NFLX US Equity,UPS US Equity,MS US Equity,SCHW US Equity
2012-12-24,16.049,22.4756,355.094,,258.62,6.856,26.93,89.83,2.831,35.4567,47.494,54.3863,33.8728,51.8089,55.5661,50.161,9.7344,46.809,58.5204,17.032,27.3973,45.3456,73.6506,53.14,14.8926,37.53,23.8714,38.8006,61.776,15.6516,23.8282,28.4588,26.1598,56.206,24.6482,29.2785,42.3375,82.115,15.7953,26.3239,29.4209,40.5342,,69.023,14.7218,47.3537,12.89,56.923,15.6936,12.9389
2012-12-26,15.828,22.3095,354.779,,248.631,6.718,26.51,89.26,2.8287,35.1237,46.949,54.5029,33.9036,51.4158,55.0961,49.81,9.9853,45.975,58.6214,17.1406,27.1661,45.3183,73.5354,52.689,14.9602,37.55,23.6344,38.8164,61.138,15.6265,23.1648,28.4,25.996,55.6603,24.4345,29.2785,41.585,81.487,15.803,26.2551,29.364,40.3313,,68.598,14.7392,47.1166,12.95,56.634,15.6356,12.8757
2012-12-27,15.891,22.3925,353.488,,248.31,6.738,26.05,89.22,2.8102,35.0392,47.139,54.4407,33.6491,51.3931,55.2582,49.753,9.9247,46.133,58.48,17.0727,27.1661,45.0274,73.5761,52.559,14.7574,37.3,23.6818,38.7452,61.274,15.4966,23.3588,28.4196,25.992,55.6015,24.8222,28.9823,41.56,80.86,15.6958,26.1404,29.2646,40.4182,,68.583,14.6869,47.0554,12.929,56.367,15.5445,12.8305
2012-12-28,15.722,22.052,350.345,,245.18,6.644,25.911,88.55,2.7964,34.8633,46.637,53.9669,33.3483,50.7731,54.7882,49.411,9.8296,45.68,57.295,16.9029,26.8304,44.682,72.1726,52.061,14.6067,36.9,23.377,38.4524,60.781,15.3756,23.0113,28.0405,25.7402,55.1313,24.649,28.7646,41.045,80.075,15.4816,25.9339,28.8668,39.8675,,67.701,14.5385,46.3884,12.761,55.543,15.4203,12.7673
2012-12-31,16.419,22.1846,354.033,,250.87,6.774,26.62,89.7,2.8334,35.5505,46.966,54.4485,33.9106,51.3326,55.2906,50.389,10.0459,46.455,58.2713,17.0315,27.0393,45.2638,73.3184,52.375,14.7569,37.68,23.1332,39.0221,61.621,15.7207,23.2866,28.2824,26.1718,55.8366,25.0444,29.0259,42.025,81.529,15.78,26.1404,29.0799,40.5052,,68.188,14.7087,47.3228,13.227,56.229,15.8344,12.9659
2013-01-02,16.939,22.9407,361.976,,257.31,7.072,28.0,93.2,2.9397,36.4417,47.226,55.0233,34.6801,52.4668,56.1091,51.717,10.4093,48.251,59.7255,17.5956,28.0462,46.4547,74.8439,53.064,15.2756,38.34,23.7833,39.1724,62.8,16.2088,23.3949,28.936,26.7647,57.9861,25.748,30.2193,42.7925,83.775,16.3616,26.8057,29.364,41.6501,,69.665,15.2716,49.534,13.144,58.197,16.2485,13.616
2013-01-03,16.725,22.6334,362.186,,258.48,6.954,27.77,93.6211,2.942,36.4699,45.018,54.9456,34.6102,52.1341,55.7525,51.57,10.3487,48.32,59.6178,17.5549,28.0462,46.5547,74.5253,53.087,15.3582,37.75,23.587,39.3386,62.607,16.0279,23.6341,28.7987,27.7835,57.7762,25.8825,29.8883,42.1775,84.633,16.3157,26.5839,30.0672,42.0486,,70.059,15.2803,49.3032,13.799,58.25,16.2153,13.598
2013-01-04,16.259,22.2098,369.343,,259.15,6.88,28.76,93.85,3.039,36.7677,45.105,55.5747,35.2237,52.2399,55.9632,51.472,10.4785,48.318,59.8939,17.6296,28.091,47.4456,74.9185,53.163,15.3822,38.13,23.2895,40.7944,63.158,16.0194,23.8643,28.9556,27.6165,58.0952,25.7164,30.1496,42.4025,84.361,16.1933,26.7216,29.8115,42.0921,,69.455,15.3719,48.5777,13.711,58.395,16.7205,13.9592
2013-01-07,16.164,22.1683,367.731,,268.459,6.868,29.421,93.45,2.9512,37.0304,45.105,55.4582,35.2625,51.8846,55.4284,51.196,10.4612,49.155,59.2004,17.6432,27.8225,46.3365,74.41,53.156,15.2383,37.94,23.3364,40.739,63.65,15.9479,23.9004,29.2105,27.842,57.8433,25.5739,29.9928,42.245,83.709,16.2622,26.5916,29.9181,42.0921,,70.276,15.4417,48.9679,14.171,58.227,16.3975,13.7876
2013-01-08,16.207,22.052,367.006,,266.38,6.736,29.061,93.81,2.8869,37.3752,44.507,55.466,35.3324,51.8014,55.5823,51.505,10.366,48.993,59.5707,17.6703,27.6285,46.1456,74.0778,53.316,15.2531,38.14,22.8285,41.0476,63.254,16.0573,23.6477,28.4997,27.8503,58.1792,25.3999,30.0016,42.4925,83.552,16.1397,26.5457,29.9607,41.795,,70.299,15.181,48.8914,13.879,58.067,16.2733,13.7425
2013-01-09,15.954,22.1766,369.417,,266.35,6.728,30.59,93.32,2.8218,37.9451,45.347,55.7145,35.3091,52.0811,55.5661,51.464,9.8901,50.372,59.3418,17.9759,27.6211,46.1638,74.2676,53.584,15.2456,38.66,22.9572,41.91,65.438,16.1667,23.6702,28.4336,28.034,58.5906,25.9617,30.019,42.9575,83.593,16.4152,26.5457,30.2519,43.3311,,70.198,15.1324,49.6334,13.701,58.723,16.2485,13.6612
